Type, Architecture, Model, Layer, Energy, Latency, Wall time
Squareloop1Layer, systolic, mobv3, 2, 403.67, 305424, 40.800
Squareloop1Layer, systolic, mobv3, 3, 373.37, 308312, 89.745
Squareloop1Layer, systolic, mobv3, 4, 2819.72, 1209164, 76.953
Squareloop1Layer, systolic, mobv3, 5, 818.07, 1237824, 114.342
Squareloop1Layer, systolic, mobv3, 6, 399.18, 307872, 119.077
Squareloop1Layer, systolic, mobv3, 7, 958.9, 343488, 89.439
Squareloop1Layer, systolic, mobv3, 8, 503.03, 359544, 129.778
Squareloop1Layer, systolic, mobv3, 9, 416.41, 340872, 66.812
Squareloop1Layer, systolic, mobv3, 11, 302.55, 353976, 129.361
Squareloop1Layer, systolic, mobv3, 12, 1.62, 2676, 89.982
Squareloop1Layer, systolic, mobv3, 13, 1.58, 2676, 73.330
Squareloop1Layer, systolic, mobv3, 14, 313.3, 90456, 122.578
Squareloop1Layer, systolic, mobv3, 15, 514.5, 150744, 92.477
Squareloop1Layer, systolic, mobv3, 16, 552.61, 163856, 134.592
Squareloop1Layer, systolic, mobv3, 17, 2.84, 5888, 98.644
Squareloop1Layer, systolic, mobv3, 18, 2.62, 5868, 105.529
Squareloop1Layer, systolic, mobv3, 19, 780.75, 150768, 133.651
Squareloop1Layer, systolic, mobv3, 25, 1028.21, 288712, 113.340
Squareloop1Layer, systolic, mobv3, 26, 139.71, 274788, 119.065
Squareloop1Layer, systolic, mobv3, 27, 323.1, 112028, 105.793
Squareloop1Layer, systolic, mobv3, 28, 245.74, 70000, 34.375
Squareloop1Layer, systolic, mobv3, 29, 114.98, 59425, 117.672
Squareloop1Layer, systolic, mobv3, 30, 404.66, 112000, 97.556
Squareloop1Layer, systolic, mobv3, 31, 248.02, 67504, 54.907
Squareloop1Layer, systolic, mobv3, 32, 172.36, 59940, 53.083
Squareloop1Layer, systolic, mobv3, 33, 247.4, 103352, 28.541
Squareloop1Layer, systolic, mobv3, 37, 638.37, 168000, 46.580
Squareloop1Layer, systolic, mobv3, 38, 204.39, 143946, 72.174
Squareloop1Layer, systolic, mobv3, 39, 39.04, 86820, 59.872
Squareloop1Layer, systolic, mobv3, 40, 39.87, 86832, 86.856
Squareloop1Layer, systolic, mobv3, 41, 859.37, 235200, 110.904
Squareloop1Layer, systolic, mobv3, 42, 1254.08, 329280, 57.914
Squareloop1Layer, systolic, mobv3, 43, 283.26, 200466, 70.173
Squareloop1Layer, systolic, mobv3, 44, 72.52, 169932, 110.457
Squareloop1Layer, systolic, mobv3, 45, 83.0, 169968, 64.288
Squareloop1Layer, systolic, mobv3, 46, 1264.04, 351232, 57.532
Squareloop1Layer, systolic, mobv3, 48, 667.81, 190228, 41.875
Squareloop1Layer, systolic, mobv3, 51, 481.5, 168084, 92.464
Squareloop1Layer, systolic, mobv3, 52, 1106.65, 271020, 50.779
Squareloop1Layer, systolic, mobv3, 53, 1228.92, 235200, 41.233
Squareloop1Layer, systolic, mobv3, 54, 149.1, 346560, 70.023
Squareloop1Layer, systolic, mobv3, 55, 148.57, 346740, 103.690
Squareloop1Layer, systolic, mobv3, 56, 756.44, 277876, 85.378
Squareloop1Layer, systolic, bert_conv, 1, 23615.76, 7077888, 87.312
Squareloop1Layer, systolic, bert_conv, 2, 94670.61, 28311552, 88.016
Squareloop1Layer, systolic, bert_conv, 3, 115118.3, 37748736, 76.497
Squareloop1Layer, vector256, resnet18, 1, 244.47, 3060748, 54.358
Squareloop1Layer, vector256, resnet18, 2, 2435.26, 1215792, 90.474
Squareloop1Layer, vector256, resnet18, 6, 116.84, 641149, 93.827
Squareloop1Layer, vector256, resnet18, 7, 465.85, 931069, 112.844
Squareloop1Layer, vector256, resnet18, 8, 29.91, 228344, 72.228
Squareloop1Layer, vector256, resnet18, 11, 100.19, 668172, 62.585
Squareloop1Layer, vector256, resnet18, 12, 610.13, 900108, 95.731
Squareloop1Layer, vector256, resnet18, 13, 71.32, 198365, 63.607
Squareloop1Layer, vector256, resnet18, 16, 103.23, 1807200, 58.949
Squareloop1Layer, vector256, resnet18, 17, 198.42, 3614304, 59.860
Squareloop1Layer, vector256, resnet18, 18, 8.31, 221708, 58.985
Squareloop1Layer, vector256, resnet18, 21, 1.0, 768736, 104.465
Squareloop1Layer, vector256, mobv3, 1, 23.35, 355044, 63.135
Squareloop1Layer, vector256, mobv3, 2, 15.94, 312408, 78.605
Squareloop1Layer, vector256, mobv3, 3, 13.3, 416128, 63.953
Squareloop1Layer, vector256, mobv3, 4, 1368.0, 1208636, 106.540
Squareloop1Layer, vector256, mobv3, 5, 11.27, 1232832, 38.905
Squareloop1Layer, vector256, mobv3, 6, 6.05, 326156, 55.097
Squareloop1Layer, vector256, mobv3, 7, 7.15, 366924, 49.084
Squareloop1Layer, vector256, mobv3, 8, 217.4, 366984, 46.968
Squareloop1Layer, vector256, mobv3, 9, 6.36, 363788, 84.414
Squareloop1Layer, vector256, mobv3, 11, 13.71, 568500, 60.724
Squareloop1Layer, vector256, mobv3, 12, 0.07, 2628, 71.332
Squareloop1Layer, vector256, mobv3, 13, 0.07, 2676, 35.975
Squareloop1Layer, vector256, mobv3, 14, 6.65, 85480, 70.942
Squareloop1Layer, vector256, mobv3, 15, 15.56, 145128, 90.584
Squareloop1Layer, vector256, mobv3, 16, 6.65, 258744, 45.851
Squareloop1Layer, vector256, mobv3, 17, 0.08, 5804, 62.111
Squareloop1Layer, vector256, mobv3, 18, 0.08, 5832, 65.018
Squareloop1Layer, vector256, mobv3, 19, 8.57, 164652, 68.351
Squareloop1Layer, vector256, mobv3, 25, 43.45, 283920, 114.982
Squareloop1Layer, vector256, mobv3, 26, 7.66, 275589, 80.828
Squareloop1Layer, vector256, mobv3, 27, 25.55, 101968, 50.946
Squareloop1Layer, vector256, mobv3, 28, 12.7, 215624, 53.301
Squareloop1Layer, vector256, mobv3, 29, 4.61, 60180, 65.853
Squareloop1Layer, vector256, mobv3, 30, 47.77, 74504, 56.287
Squareloop1Layer, vector256, mobv3, 31, 12.81, 99200, 39.743
Squareloop1Layer, vector256, mobv3, 32, 2.02, 54732, 108.176
Squareloop1Layer, vector256, mobv3, 33, 8.49, 116840, 46.663
Squareloop1Layer, vector256, mobv3, 37, 175.2, 232128, 81.866
Squareloop1Layer, vector256, mobv3, 38, 10.65, 141996, 115.483
Squareloop1Layer, vector256, mobv3, 39, 0.17, 86712, 81.555
Squareloop1Layer, vector256, mobv3, 40, 0.31, 86528, 97.701
Squareloop1Layer, vector256, mobv3, 41, 27.66, 272988, 56.264
Squareloop1Layer, vector256, mobv3, 42, 155.89, 315336, 56.553
Squareloop1Layer, vector256, mobv3, 43, 3.34, 204648, 54.746
Squareloop1Layer, vector256, mobv3, 44, 0.23, 169860, 48.247
Squareloop1Layer, vector256, mobv3, 45, 0.53, 169552, 65.680
Squareloop1Layer, vector256, mobv3, 46, 47.08, 379612, 51.618
Squareloop1Layer, vector256, mobv3, 48, 20.47, 187287, 65.811
Squareloop1Layer, vector256, mobv3, 51, 19.85, 192652, 57.857
Squareloop1Layer, vector256, mobv3, 52, 11.7, 261772, 67.433
Squareloop1Layer, vector256, mobv3, 53, 45.01, 73788, 67.889
Squareloop1Layer, vector256, mobv3, 54, 0.64, 345816, 118.869
Squareloop1Layer, vector256, mobv3, 55, 0.37, 346572, 58.147
Squareloop1Layer, vector256, mobv3, 56, 20.26, 246140, 88.750
Squareloop1Layer, vector256, bert_conv, 1, 380.56, 1769760, 122.672
Squareloop1Layer, vector256, bert_conv, 2, 2712.24, 19470336, 78.843
Squareloop1Layer, vector256, bert_conv, 3, 1793.02, 56647680, 99.652
