Type, Architecture, Model, Layer, Energy, Latency, Wall time
BaselineRehash, vector256, mobv3, 35_36, N/A, 108264.0, N/A
BaselineRehash, vector256, mobv3, 36_37, N/A, 47112.0, N/A
BaselineRehash, vector256, mobv3, 37_38, N/A, 283704.0, N/A
BaselineRehash, vector256, mobv3, 38_39, N/A, 141972.0, N/A
BaselineRehash, vector256, mobv3, 39_40, N/A, 432.0, N/A
BaselineRehash, vector256, mobv3, 40_41, N/A, 141936.0, N/A
BaselineRehash, vector256, mobv3, 41_42, N/A, 70668.0, N/A
BaselineRehash, vector256, mobv3, 42_43, N/A, 395412.0, N/A
BaselineRehash, vector256, mobv3, 43_44, N/A, 198624.0, N/A
BaselineRehash, vector256, mobv3, 44_45, N/A, 576.0, N/A
BaselineRehash, vector256, mobv3, 45_46, N/A, 198708.0, N/A
BaselineRehash, vector256, mobv3, 46_47, N/A, 70980.0, N/A
BaselineRehash, vector256, mobv3, 47_48, N/A, 395556.0, N/A
BaselineRehash, vector256, mobv3, 48_49, N/A, 50508.0, N/A
BaselineRehash, vector256, mobv3, 49_50, N/A, 576.0, N/A
BaselineRehash, vector256, mobv3, 50_51, N/A, 50532.0, N/A
BaselineRehash, vector256, mobv3, 51_52, N/A, 23676.0, N/A
BaselineRehash, vector256, mobv3, 52_53, N/A, 141228.0, N/A
BaselineRehash, vector256, mobv3, 53_54, N/A, 72432.0, N/A
BaselineRehash, vector256, mobv3, 54_55, N/A, 756.0, N/A
BaselineRehash, vector256, mobv3, 55_56, N/A, 72084.0, N/A
BaselineRehash, vector256, mobv3, 56_57, N/A, 23556.0, N/A
BaselineRehash, vector256, mobv3, 57_58, N/A, 141228.0, N/A
BaselineRehash, vector256, mobv3, 58_59, N/A, 72432.0, N/A
BaselineRehash, vector256, mobv3, 59_60, N/A, 756.0, N/A
BaselineRehash, vector256, mobv3, 60_61, N/A, 72084.0, N/A
BaselineRehash, vector256, mobv3, 61_62, N/A, 23556.0, N/A
BaselineTotal, vector256, mobv3, N/A, N/A, 27792806.0, N/A
Constrained, vector256, mobv3, 1, 39.97, 620928, 0.385
Constrained, vector256, mobv3, 2, 18.56, 312408, 0.769
Constrained, vector256, mobv3, 3, 7.9, 416128, 0.367
ConstrainedRehashForced, vector256, mobv3, 3_4, N/A, 603384.0, N/A
Constrained, vector256, mobv3, 4, 71.2, 1208636, 0.284
Constrained, vector256, mobv3, 5, 17.3, 1319472, 0.196
Constrained, vector256, mobv3, 6, 6.05, 326156, 0.282
